Part_ID,Part_Name,Category,Model_Compatibility,Price_PKR,Stock_Quantity
P0385,Chain Sprocket Kit,Drivetrain,125cc,2850,112
P0386,Chain Sprocket Kit,Drivetrain,125cc,2850,117
P0387,Fuel Tank,Body/Frame,70cc,2800,67
P0388,Side Cover,Body/Frame,125cc,1350,303
P0389,Sprocket Hub,Drivetrain,100cc,620,290
P0390,CDI Unit,Electrical,70cc,320,413
P0391,Rear Axle,Drivetrain,100cc,280,207
P0392,Indicator Relay,Electrical,125cc,150,74
P0393,Brake Shoe Set,Braking,70cc,280,356
P0394,CDI Unit,Electrical,100cc,450,112
P0395,Rear Axle,Drivetrain,100cc,280,451
P0396,Ignition Switch,Electrical,100cc,600,334
P0397,Gasket Kit,Engine,100cc,260,161
P0398,Handle Grip,Rubber/Misc,100cc,150,437
P0399,Ignition Switch,Electrical,125cc,850,94
P0400,Brake Cable,Braking,125cc,220,166
P0401,Side Cover,Body/Frame,70cc,750,8
P0402,Clutch Plate Set,Engine,70cc,550,444
P0403,Brake Cable,Braking,125cc,220,216
P0404,Air Cleaner Filter,Rubber/Misc,125cc,320,265
P0405,Handle Bar,Body/Frame,125cc,850,455
P0406,Air Cleaner Filter,Rubber/Misc,100cc,220,133
P0407,Disc Pad,Braking,125cc,450,104
P0408,Brake Lever,Braking,100cc,140,15
P0409,Drum Rubber,Rubber/Misc,100cc,160,426
P0410,CDI Unit,Electrical,125cc,650,398
P0411,Oil Pump,Engine,100cc,480,255
P0412,Rear Axle,Drivetrain,70cc,220,427
P0413,Ignition Switch,Electrical,70cc,450,1
P0414,Drum Rubber,Rubber/Misc,100cc,160,373
P0415,Piston Kit,Engine,125cc,1850,191
P0416,Disc Pad,Braking,125cc,450,253
P0417,Brake Lever,Braking,125cc,180,462
P0418,Mudguard Front,Body/Frame,100cc,750,47
P0419,Air Cleaner Filter,Rubber/Misc,70cc,160,389
P0420,Footrest Rubber,Rubber/Misc,125cc,160,401
P0421,Mudguard Rear,Body/Frame,125cc,1100,440
P0422,Spark Plug,Electrical,70cc,350,315
P0423,Rear Axle,Drivetrain,100cc,280,222
P0424,Clutch Plate Set,Engine,100cc,850,183
P0425,Side Cover,Body/Frame,125cc,1350,307
P0426,Brake Shoe Set,Braking,125cc,550,163
P0427,Chain Sprocket Kit,Drivetrain,100cc,2150,189
P0428,Fuel Tank,Body/Frame,70cc,2800,109
P0429,Air Cleaner Filter,Rubber/Misc,70cc,160,188
P0430,Disc Pad,Braking,125cc,450,225
P0431,CDI Unit,Electrical,70cc,320,438
P0432,Spark Plug,Electrical,100cc,350,490
P0433,Gasket Kit,Engine,125cc,380,496
P0434,Air Cleaner Filter,Rubber/Misc,70cc,160,221
P0435,Indicator Relay,Electrical,125cc,150,239
P0436,Handle Grip,Rubber/Misc,125cc,180,353
P0437,Disc Pad,Braking,100cc,320,459
P0438,Cylinder Block,Engine,125cc,4800,55
P0439,Handle Grip,Rubber/Misc,125cc,180,287
P0440,Clutch Plate Set,Engine,125cc,2200,375
P0441,Handle Bar,Body/Frame,125cc,850,363
P0442,Drive Chain,Drivetrain,125cc,850,452
P0443,Brake Lever,Braking,100cc,140,411
P0444,Drum Rubber,Rubber/Misc,125cc,220,90
P0445,Fuel Tank,Body/Frame,70cc,2800,8
P0446,Drive Chain,Drivetrain,125cc,850,42
P0447,Clutch Plate Set,Engine,70cc,550,43
P0448,CDI Unit,Electrical,70cc,320,309
P0449,Gasket Kit,Engine,100cc,260,78
P0450,Piston Kit,Engine,70cc,950,318
P0451,Indicator Relay,Electrical,125cc,150,3
P0452,Handle Grip,Rubber/Misc,125cc,180,383
P0453,Cylinder Block,Engine,125cc,4800,152
P0454,Indicator Relay,Electrical,125cc,150,297
P0455,Rear Axle,Drivetrain,70cc,220,335
P0456,Rear Axle,Drivetrain,70cc,220,348
P0457,Fuel Tank,Body/Frame,125cc,4800,448
P0458,Rear Axle,Drivetrain,70cc,220,252
P0459,Drive Chain,Drivetrain,100cc,600,378
P0460,Brake Lever,Braking,100cc,140,349
P0461,Gasket Kit,Engine,100cc,260,241
P0462,Footrest Rubber,Rubber/Misc,70cc,120,132
P0463,Mudguard Front,Body/Frame,70cc,550,17
P0464,Brake Cable,Braking,100cc,180,33
P0465,Indicator Relay,Electrical,70cc,90,328
P0466,Indicator Relay,Electrical,70cc,90,311
P0467,Sprocket Hub,Drivetrain,100cc,620,121
P0468,Clutch Plate Set,Engine,100cc,850,300
P0469,Clutch Plate Set,Engine,70cc,550,436
P0470,Sprocket Hub,Drivetrain,100cc,620,468
P0471,Brake Shoe Set,Braking,125cc,550,46
P0472,Disc Pad,Braking,100cc,320,408
P0473,Headlight Assembly,Electrical,125cc,1250,216
P0474,Mudguard Front,Body/Frame,70cc,550,11
P0475,Chain Sprocket Kit,Drivetrain,125cc,2850,244
P0476,Footrest Rubber,Rubber/Misc,125cc,160,158
P0477,Disc Pad,Braking,70cc,250,14
P0478,Rear Axle,Drivetrain,70cc,220,372
P0479,Gasket Kit,Engine,125cc,380,402
P0480,Drive Chain,Drivetrain,125cc,850,120
P0481,Footrest Rubber,Rubber/Misc,70cc,120,270
P0482,Sprocket Hub,Drivetrain,70cc,480,225
P0483,Air Cleaner Filter,Rubber/Misc,100cc,220,66
P0484,Brake Shoe Set,Braking,125cc,550,254
P0485,Mudguard Rear,Body/Frame,100cc,780,451
P0486,Ignition Switch,Electrical,70cc,450,418
P0487,CDI Unit,Electrical,70cc,320,304
P0488,Headlight Assembly,Electrical,100cc,750,204
P0489,Drive Chain,Drivetrain,100cc,600,14
P0490,Fuel Tank,Body/Frame,70cc,2800,182
P0491,Brake Shoe Set,Braking,70cc,280,264
P0492,Handle Grip,Rubber/Misc,100cc,150,297
P0493,Piston Kit,Engine,70cc,950,255
P0494,Drive Chain,Drivetrain,100cc,600,455
P0495,Brake Cable,Braking,70cc,140,333
P0496,Chain Sprocket Kit,Drivetrain,100cc,2150,393
P0497,Air Cleaner Filter,Rubber/Misc,100cc,220,455
P0498,Footrest Rubber,Rubber/Misc,70cc,120,11
P0499,Mudguard Front,Body/Frame,70cc,550,280
P0500,Rear Axle,Drivetrain,125cc,380,334
P0501,Footrest Rubber,Rubber/Misc,100cc,140,417
P0502,Clutch Plate Set,Engine,100cc,850,430
P0503,Oil Pump,Engine,125cc,680,405
P0504,Cylinder Block,Engine,100cc,3800,347
P0505,Sprocket Hub,Drivetrain,100cc,620,410
P0506,Drive Chain,Drivetrain,70cc,450,336
P0507,Air Cleaner Filter,Rubber/Misc,125cc,320,105
P0508,Clutch Plate Set,Engine,125cc,2200,220
P0509,Spark Plug,Electrical,100cc,350,479
P0510,Disc Pad,Braking,70cc,250,369
P0511,Gasket Kit,Engine,70cc,180,445
P0512,Rear Axle,Drivetrain,100cc,280,442
P0513,Rear Axle,Drivetrain,70cc,220,145
P0514,Brake Shoe Set,Braking,100cc,380,57
P0515,Gasket Kit,Engine,70cc,180,154
P0516,Gasket Kit,Engine,70cc,180,462
P0517,Brake Cable,Braking,100cc,180,451
P0518,Clutch Plate Set,Engine,100cc,850,399
P0519,Disc Pad,Braking,70cc,250,241
P0520,Brake Lever,Braking,100cc,140,167
P0521,Oil Pump,Engine,100cc,480,234
P0522,Cylinder Block,Engine,70cc,2800,155
P0523,Handle Bar,Body/Frame,70cc,500,348
P0524,Air Cleaner Filter,Rubber/Misc,70cc,160,45
P0525,Handle Grip,Rubber/Misc,100cc,150,12
P0526,Oil Pump,Engine,70cc,380,286
P0527,Footrest Rubber,Rubber/Misc,100cc,140,488
P0528,Brake Lever,Braking,70cc,120,297
P0529,Cylinder Block,Engine,125cc,4800,245
